logged_at,sym,setup,direction,horizon_days,entry_date,exit_date,stock_return_pct,hit,options_pnl_pct
2026-07-21T21:21:46Z,OKTA,upthrust,long_put,5,2026-07-21,2026-07-28,3.867,1,8.503
2026-07-21T21:23:46Z,XYZ,upthrust,long_put,5,2026-07-21,2026-07-28,-3.409,0,-52.926
2026-07-21T21:24:46Z,SMCI,spring,long_call,5,2026-07-21,2026-07-28,11.588,1,102.179
2026-07-21T21:38:20Z,MA,upthrust,long_put,5,2026-07-21,2026-07-28,-4.544,0,-70.747
2026-07-21T21:41:20Z,PM,upthrust,long_put,5,2026-07-21,2026-07-28,-6.493,0,-70.992
2026-07-21T21:43:20Z,QCOM,spring,long_call,5,2026-07-21,2026-07-28,-6.144,0,-75.719
2026-07-22T21:47:35Z,WFC,upthrust,long_put,5,2026-07-22,2026-07-29,2.951,1,47.604
2026-07-23T21:31:14Z,AMZN,spring,long_call,5,2026-07-23,2026-07-30,1.014,1,-8.998
2026-07-23T21:32:15Z,WMT,spring,long_call,5,2026-07-23,2026-07-30,2.482,1,22.232
2026-07-23T21:38:11Z,GRPN,abc,long_put,5,2026-07-23,2026-07-30,-9.599,0,-64.514
2026-07-23T21:41:11Z,TSLA,sow,long_put,5,2026-07-23,2026-07-30,3.378,1,-7.656
2026-07-24T21:40:09Z,AAPL,abc,long_put,5,2026-07-24,2026-07-31,7.24,1,139.812
2026-07-24T21:41:09Z,NFLX,abc,long_call,5,2026-07-24,2026-07-31,2.311,1,-9.033
2026-07-27T21:35:31Z,ABBV,upthrust,long_put,5,2026-07-27,2026-08-03,4.597,1,80.131
2026-07-27T21:38:32Z,TXN,spring,long_call,5,2026-07-27,2026-08-03,-3.711,0,-59.073
2026-07-27T21:34:32Z,INTC,spring,long_call,5,2026-07-27,2026-08-03,-0.731,0,-20.066
2026-07-27T21:35:32Z,AMAT,spring,long_call,5,2026-07-27,2026-08-03,0.255,1,-12.719
2026-07-27T21:37:32Z,MRK,upthrust,long_put,5,2026-07-27,2026-08-03,2.287,1,7.331
2026-07-27T21:39:33Z,CRM,upthrust,long_put,5,2026-07-27,2026-08-03,-7.114,0,-57.908
2026-07-27T21:39:33Z,ADBE,upthrust,long_put,5,2026-07-27,2026-08-03,-5.716,0,-43.461
2026-07-21T21:21:46Z,OKTA,upthrust,long_put,10,2026-07-21,2026-08-04,-4.312,0,-53.939
2026-07-21T21:23:46Z,XYZ,upthrust,long_put,10,2026-07-21,2026-08-04,-5.3,0,-71.675
2026-07-21T21:24:46Z,SMCI,spring,long_call,10,2026-07-21,2026-08-04,24.275,1,202.331
2026-07-21T21:38:20Z,MA,upthrust,long_put,10,2026-07-21,2026-08-04,-6.093,0,-85.887
2026-07-21T21:41:20Z,PM,upthrust,long_put,10,2026-07-21,2026-08-04,0.601,1,-13.197
2026-07-21T21:43:20Z,QCOM,spring,long_call,10,2026-07-21,2026-08-04,-6.242,0,-71.982
2026-07-28T21:37:34Z,CAT,spring,long_call,5,2026-07-28,2026-08-04,4.245,1,44.814
2026-07-28T21:43:17Z,GRPN,upthrust,long_put,5,2026-07-28,2026-08-04,2.171,1,-10.335
2026-07-28T21:35:33Z,BRK.B,upthrust,long_put,5,2026-07-28,2026-08-04,-0.947,0,-44.7
2026-07-28T21:34:33Z,GOOGL,spring,long_call,5,2026-07-28,2026-08-04,13.167,1,193.215
2026-07-28T21:35:34Z,MU,spring,long_call,5,2026-07-28,2026-08-04,8.792,1,53.947
2026-07-28T21:36:34Z,JNJ,upthrust,long_put,5,2026-07-28,2026-08-04,4.424,1,60.584
2026-07-28T21:40:34Z,DELL,spring,long_call,5,2026-07-28,2026-08-04,19.171,1,121.988
2026-07-28T21:42:18Z,BKNG,sos,long_call,5,2026-07-28,2026-08-04,-2.529,0,-40.367
2026-07-28T21:45:17Z,SHOP,upthrust,long_put,5,2026-07-28,2026-08-04,5.358,1,32.755
2026-07-22T21:47:35Z,WFC,upthrust,long_put,10,2026-07-22,2026-08-05,-3.182,0,-66.056
2026-07-29T21:15:39Z,GOOG,spring,long_call,5,2026-07-29,2026-08-05,7.258,1,97.309
2026-07-29T21:20:38Z,MRK,upthrust,long_put,5,2026-07-29,2026-08-05,1.557,1,-11.473
2026-07-29T21:28:34Z,ADBE,sos,long_call,5,2026-07-29,2026-08-05,-1.56,0,-24.701
2026-07-29T21:22:38Z,C,spring,long_call,5,2026-07-29,2026-08-05,8.267,1,123.407
